"ESTUDIO","CUES","CCAA","PROV","MUN","CAPITAL","TAMUNI","ENTREV","TIPO_TEL","SEXO","EDAD","P0","P1","P2","P3","P4","P4A_1","P4A_2","P4A_3","P4A_4","P4A_5","P4A_6","P4A_9","P4B","P4C","P4D","P4E","P4F","P4G_1","P4G_2","P4G_3","P4G_4","P4G_5","P4G_9","P4H_1","P4H_2","P4H_3","P4H_4","P4H_5","P4H_6","P4H_9","P4I","P5","P5A_1","P5A_2","P5A_3","P5A_4","P5B_1","P5B_2","P5B_3","P5B_4","P6","P6A","P7","P8","P9","P10","P11_1","P11_2","P12","P13_1","P13_2","P14_1","P14_2","P15","P16","P17_1","P17_2","P17_3","P18_1","P18_2","P18_3","P19_1","P19_2","P19_3","P19_4","P19_5","P20","P21","P22","INTENCIONG","ESCIDEOL","ESCIDEOLPOLI_1","ESCIDEOLPOLI_2","ESCIDEOLPOLI_3","ESCIDEOLPOLI_4","ESCIDEOLPOLI_5","P27_1","P27_2","P27_3","P27_4","P27_5","PARTICIPACIONG","FIDEVOTO","P31","ESCUELA","NIVELESTENTREV","RELIGION","ECIVIL","SITLAB","CNO11","CLASESOCIAL","IA_E1_DIA","IA_E1_MES","IA_E1_ANYO","IA_E2","IA_E3","IA_E4","P4A_7","P4A_8","P4A_10","P4A_11","VOTOSIMG","ESTUDIOS","CLASESUB"
3292,2188,1,4,0,3,3,0,1,2,48,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,3,2,2,4,3,2,5,4,2,6,3,3,1,4,2,6,53,11,6,1,8,7,1,4,1,8,3,4,6,3,5,5,8,1,10,5,5,2,1,4,8,1,3,3,3,6,2,1,7,NA,3,4,9,20,5,13,1,NA,NA,NA,NA,4,4,2
3292,570,1,4,13,2,5,0,2,2,65,1,1,1,1,1,2,2,2,2,2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,NA,2,3,2,1,8,9,2,5,3,2,1,10,5,9,3,3,53,11,50,97,99,99,8,4,8,1,5,2,3,99,5,5,98,98,98,98,98,8,5,98,8,5,1,1,1,3,6,6,4,2,NA,4,2,9,20,3,13,2,2,2,2,1,99,4,3
3292,792,1,4,13,2,5,0,2,2,22,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,1,2,1,2,8,5,3,1,4,5,1,1,2,2,5,5,2,53,8,51,9,6,8,1,4,1,1,1,4,3,2,0,7,1,5,1,5,5,1,5,5,1,5,7,1,2,3,11,2,2,6,NA,3,2,9,20,3,18,3,NA,NA,NA,NA,1,6,2
3292,817,1,4,13,2,5,0,2,2,19,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,2,3,1,2,7,1,4,6,1,3,2,2,53,8,1,1,97,99,6,3,1,5,4,3,3,97,1,1,10,1,5,6,10,4,2,1,3,2,4,1,4,3,4,3,2,4,NA,3,2,9,20,3,17,3,NA,NA,NA,NA,2,3,2
3292,1407,1,4,13,2,5,0,2,2,47,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,3,1,2,8,3,2,2,5,2,3,2,1,5,5,2,51,6,8,22,11,16,4,3,3,1,3,3,3,6,5,5,6,9,2,10,5,5,3,1,3,5,5,3,3,3,6,2,2,1,4,4,3,9,20,4,17,1,NA,NA,NA,NA,77,4,3
3292,1508,1,4,13,2,5,0,2,1,38,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,2,5,3,2,7,5,1,2,6,3,2,4,2,13,96,99,9,7,1,1,1,1,1,1,4,4,97,5,5,2,9,1,10,6,1,1,1,1,1,1,3,4,3,7,1,1,4,NA,3,3,9,20,4,13,2,NA,NA,NA,NA,97,5,2
3292,1603,1,4,13,2,5,0,2,2,37,1,1,1,1,1,1,2,2,2,2,2,2,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,5,3,2,2,3,2,6,9,1,3,5,2,51,96,50,22,6,8,1,1,1,1,1,4,3,3,4,10,1,5,1,10,3,1,5,10,1,3,7,3,3,3,11,6,1,1,3,3,3,9,20,4,17,2,2,2,2,2,18,6,2
3292,2106,1,4,13,2,5,0,2,1,38,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,3,2,3,2,1,2,3,8,5,3,2,10,3,3,8,3,2,51,6,22,53,1,98,5,2,4,1,2,2,3,1,2,1,4,9,2,10,9,6,2,1,7,2,1,3,2,3,8,6,2,1,3,3,3,9,20,4,17,4,NA,NA,NA,NA,21,6,2
3292,1957,1,4,13,2,5,0,2,2,43,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,1,1,5,3,8,2,5,2,7,6,3,1,5,2,53,51,1,53,22,13,1,1,1,1,1,4,4,97,5,99,99,99,99,99,99,1,1,1,1,1,1,3,3,3,9,2,1,1,2,3,3,9,20,4,21,3,NA,NA,NA,NA,96,6,2
3292,2011,1,4,13,2,5,0,2,2,60,1,2,3,1,1,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,1,1,2,2,5,3,2,6,5,2,8,97,1,3,5,2,18,13,51,11,1,93,4,5,1,5,1,4,3,2,0,6,3,7,1,8,6,2,6,7,1,5,1,2,1,3,2,1,1,1,9,3,3,9,20,4,23,3,2,2,2,2,1,2,2
3292,1202,1,4,0,3,2,0,2,1,51,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,1,1,2,NA,2,1,NA,3,1,1,5,1,8,4,2,2,2,6,3,2,4,4,11,50,9,8,97,99,1,1,1,1,2,4,4,6,3,4,3,7,1,10,6,1,1,1,1,3,1,1,1,3,6,5,5,1,7,5,2,9,20,3,15,4,NA,NA,NA,NA,4,4,4
3292,10,1,4,0,3,2,0,2,1,64,1,2,3,98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,98,2,2,5,3,2,6,4,2,98,99,3,8,5,3,11,8,53,6,8,12,5,3,97,97,5,4,4,97,5,5,4,2,98,98,5,4,4,97,97,4,1,3,1,3,1,4,1,2,NA,5,1,9,20,2,19,3,NA,NA,NA,NA,97,1,4
